 Rank                     Fighter Score
  650                 Gökhan Saki  1011
  651                  Andrea Lee  1011
  652                  Terry Etim  1010
  653                  Hugo Viana  1010
  654               Lucas Martins  1010
  655               Bethe Correia  1010
  656             Christos Giagos  1010
  657              Manny Bermudez  1010
  658              Maurice Greene  1010
  659                Ramsey Nijem  1009
  660           Ildemar Alcântara  1009
  661                 Brad Katona  1009
  662                Ian Heinisch  1009
  663                Jorge Rivera  1008
  664                 Brian Stann  1008
  665                  Lyman Good  1008
  666              Darren Stewart  1008
  667                 Eryk Anders  1008
  668               Kendall Grove  1007
  669               Tyson Griffin  1007
  670                Clint Hester  1007
  671              Yancy Medeiros  1007
  672                 Angela Hill  1007
  673                  Polo Reyes  1007
  674                 Walt Harris  1007
  675                Drew Fickett  1006
  676                Brandon Vera  1006
  677               Chris Cariaso  1006
  678                 Jessica Eye  1006
  679                Luke Sanders  1006
  680                  Rick Glenn  1006
  681           Merab Dvalishvili  1006
  682             Falaniko Vitale  1005
  683                     Cung Le  1005
  684             Adriano Martins  1005
  685             Bryan Barberena  1005
  686                  Paul Craig  1005
  687             Yana Kunitskaya  1005
  688               Nate Landwehr  1005
  689               Keith Hackney  1004
  690                   B.J. Penn  1004
  691               Rich Clementi  1004
  692               Cortney Casey  1004
  693                   Zak Ottow  1004
  694                Jared Gordon  1004
  695                Jalin Turner  1004
  696             Ismail Naurdiev  1004
  697               Jennifer Maia  1004
  698               Dave Beneteau  1003
  699              Gary Goodridge  1003
  700            Mike Van Arsdale  1003
  701              Amaury Bitetti  1003
  702                   Gan McGee  1003
  703             Jonathan Goulet  1003
  704                  Roy Nelson  1003
  705               TJ Waldburger  1003
  706                 Waylon Lowe  1003
  707                  Dongi Yang  1003
  708            Antonio Carvalho  1003
  709                  Ian McCall  1003
  710               Nicolas Dalby  1003
  711                  Mike Perry  1003
  712               Kevin Aguilar  1003
  713           Chance Rencountre  1003
  714                 Kron Gracie  1003
  715                  Mike Davis  1003
  716            Charles Jourdain  1003
  717                 Joe Charles  1002
  718                 Geza Kalman  1002
  719             Wanderlei Silva  1002
  720               Travis Fulton  1002
  721                 Marcio Cruz  1002
  722             Dustin Hazelett  1002
  723                 Alex Garcia  1002
  724                Bruno Santos  1002
  725                Alexa Grasso  1002
  726            Jonathan Meunier  1002
  727                Takashi Sato  1002
  728           Wellington Turman  1002
  729                  Tai Bowden  1001
  730                  Nick Sanzo  1001
  731                 Joe Moreira  1001
  732                Dwayne Cason  1001
  733                  John Lewis  1001
  734                Lance Gibson  1001
  735                Jutaro Nakao  1001
  736              Paul Buentello  1001
  737               Nick Thompson  1001
  738              Dan Christison  1001
  739              Antoni Hardonk  1001
  740                  Dan Cramer  1001
  741                 John Howard  1001
  742               Pascal Krauss  1001
  743                 Diego Nunes  1001
  744               Miguel Torres  1001
  745                   Erik Koch  1001
  746             Junior Assunção  1001
  747                  Jake Hecht  1001
  748                 Eddie Yagin  1001
  749              Mike Wilkinson  1001
  750                 Pedro Nobre  1001
  751               Hans Stringer  1001
  752              Caio Magalhães  1001
  753                    Wang Sai  1001
  754                Jake Collier  1001
  755                Sirwan Kakai  1001
  756                 Davey Grant  1001
  757               Lando Vannata  1001
  758             Viviane Pereira  1001
  759                 Tai Tuivasa  1001
  760                 Jose Torres  1001
  761              Emily Whitmire  1001
  762           Mayra Bueno Silva  1001
  763             Virna Jandiroba  1001
  764                Amanda Lemos  1001
  765               Raulian Paiva  1001
  766                 Brok Weaver  1001
  767               Lerone Murphy  1001
  768                Orlando Wiet  1000
  769                 Todd Medina  1000
  770               Paul Varelans  1000
  771                 Jack Nilson  1000
  772               Steven Graham  1000
  773                  Dan Bobish  1000
  774               Kevin Jackson  1000
  775                 Brad Kohler  1000
  776             Katsuhisa Fujii  1000
  777                   Joe Slick  1000
  778                Semmy Schilt  1000
  779                Benji Radach  1000
  780              Ivan Salaverry  1000
  781             Wesley Correira  1000
  782                Keith Rockel  1000
  783              Spencer Fisher  1000
  784              Anthony Torres  1000
  785             Roman Mitichyan  1000
  786              Marcus Aurelio  1000
  787                Tomasz Drwal  1000
  788                 James Wilks  1000
  789                David Branch  1000
  790             Fabio Maldonado  1000
  791                 Kyle Watson  1000
  792                   Nick Ring  1000
  793           Mackens Semerzier  1000
  794             Clifford Starks  1000
  795                Carlo Prater  1000
  796                 Jimi Manuwa  1000
  797            Marcus LeVesseur  1000
  798               Nordine Taleb  1000
  799                  Neil Seery  1000
  800                  Noad Lahat  1000
  801                   Sam Alvey  1000
  802             Anthony Birchak  1000
  803             Hector Sandoval  1000
  804                Mark Godbeer  1000
  805              Galore Bofando  1000
  806               Jarred Brooks  1000
  807              DeAnna Bennett  1000
  808                Mike Jackson  1000
  809         Khalil Rountree Jr.  1000
  810      Luiz Eduardo Garagorri  1000
  811                 Su Mudaerji  1000
  812                 Miles Johns  1000
  813        Raphael Pessoa Nunes  1000
  814            Loma Lookboonmee  1000
  815                 Justin Tafa  1000
  816               Spike Carlyle  1000
  817              Danaa Batgerel  1000
  818             Alfonso Alcarez  1000
  819               Ron Faircloth  1000
  820              Iuri Alcântara  1000
  821              Melinda Fábián  1000
  822               Jason DeLucia   999
  823                Scott Morris   999
  824                Scott Bessac   999
  825                  Sam Adkins   999
  826              Roberto Traven   999
  827               Tony Fryklund   999
  828                  Paul Jones   999
  829              Andrei Semenov   999
  830               Dave Strasser   999
  831              Alex Karalexis   999
